"","id","year","active_year","date_prec","date_start","date_end","event_prec","conflict_id","conflict_name","side_a_id","side_a_name","side_b_id","side_b_name","location_prec","latitude","longitude","deaths_side_a","deaths_side_b","deaths_civilians","deaths_unknown","deaths_total","deaths_high","deaths_low"
"919","50584",2001,TRUE,"1",2001-03-02,2001-03-02,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,1,0,0,0,1,1,1
"920","49462",2001,TRUE,"1",2001-03-10,2001-03-10,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","2",20.295908,98.894789,5,0,0,0,5,5,5
"921","50588",2001,TRUE,"1",2001-04-07,2001-04-07,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,1,0,1,0,2,2,2
"922","50589",2001,TRUE,"1",2001-04-07,2001-04-07,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.001944,99.0525,1,0,1,0,2,2,2
"923","50603",2001,TRUE,"1",2001-04-21,2001-04-21,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",19.173853,97.840192,7,0,0,0,7,7,7
"924","49408",2001,TRUE,"1",2001-04-30,2001-04-30,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","5",20.533333,99.25,35,0,0,0,35,35,35
"925","50311",2001,TRUE,"1",2001-05-03,2001-05-03,NA,264,"Myanmar (Burma): Shan",144,"Government of Myanmar (Burma)",256,"RCSS","4",22,98,35,0,0,0,35,35,35
"926","49934",2001,TRUE,"5",2001-01-01,2001-06-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"927","50327",2001,TRUE,"4",2001-01-01,2001-01-31,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",22,98,0,0,3,0,3,3,3
"928","49118",2001,TRUE,"1",2001-01-02,2001-01-02,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",20.800556,98.025556,0,0,6,0,6,6,6
"929","51012",2001,TRUE,"3",2001-01-08,2001-01-14,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",18.885833,96.824444,0,0,1,0,1,1,1
"930","51045",2001,TRUE,"1",2001-01-09,2001-01-09,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"931","51395",2001,TRUE,"1",2001-01-22,2001-01-22,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",14.091061,98.47457,0,0,0,0,0,1,0
"932","50388",2001,TRUE,"1",2001-02-02,2001-02-02,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",22,98,0,0,14,0,14,14,14
"933","48922",2001,TRUE,"1",2001-02-03,2001-02-03,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",21.280781,99.605689,0,0,1,0,1,1,1
"934","49426",2001,TRUE,"1",2001-02-08,2001-02-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",21.607778,97.530556,0,0,0,0,0,3,0
"935","51366",2001,TRUE,"1",2001-02-08,2001-02-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"936","50465",2001,TRUE,"1",2001-03-02,2001-03-02,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.4475,99.880833,0,0,2,0,2,2,2
"937","49731",2001,TRUE,"1",2001-03-05,2001-03-05,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"938","51183",2001,TRUE,"1",2001-03-09,2001-03-09,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"939","51008",2001,TRUE,"1",2001-03-16,2001-03-16,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,2,0,2,2,2
"940","50491",2001,TRUE,"1",2001-03-24,2001-03-24,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",13,98.75,0,0,1,0,1,1,1
"941","49700",2001,TRUE,"4",2001-03-27,2001-04-10,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"942","49730",2001,TRUE,"1",2001-03-27,2001-03-27,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"943","49815",2001,TRUE,"4",2001-04-01,2001-04-30,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,2,0,2,2,2
"944","49410",2001,TRUE,"4",2001-04-10,2001-04-20,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.533333,99.25,0,0,1,0,1,1,1
"945","49721",2001,TRUE,"5",2001-04-10,2001-07-03,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"946","50342",2001,TRUE,"1",2001-04-11,2001-04-11,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",22,98,0,0,4,0,4,4,4
"947","51004",2001,TRUE,"1",2001-04-11,2001-04-11,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"948","50369",2001,TRUE,"1",2001-05-04,2001-05-04,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",22,98,0,0,5,0,5,5,5
"949","51059",2001,TRUE,"1",2001-05-04,2001-05-04,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"950","48679",2001,TRUE,"1",2001-05-04,2001-05-04,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"951","50978",2001,TRUE,"1",2001-05-15,2001-05-15,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",17.7,97.7,0,0,1,0,1,1,1
"952","51218",2001,TRUE,"1",2001-05-16,2001-05-16,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,1,0,1,1,1
"953","49734",2001,TRUE,"1",2001-05-20,2001-05-20,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"954","50679",2001,TRUE,"1",2001-05-29,2001-05-29,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",18.393456,96.657975,0,0,1,0,1,1,1
"955","50076",2001,TRUE,"5",2001-06-08,2001-10-26,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.8614,92.320319,0,0,1,0,1,1,1
"956","48943",2001,TRUE,"1",2001-06-08,2001-06-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","1",18.81995,96.758722,0,0,1,0,1,1,1
"957","50727",2001,TRUE,"1",2001-06-08,2001-06-08,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",18.716667,96.533333,0,0,1,0,1,1,1
"958","49148",2001,TRUE,"1",2001-07-07,2001-07-07,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.925,97.563889,0,0,10,0,10,17,10
"959","49716",2001,TRUE,"1",2001-07-14,2001-07-14,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,2,0,2,2,2
"960","50130",2001,TRUE,"1",2001-07-14,2001-07-14,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","2",18.954692,96.805081,0,0,2,0,2,2,2
"961","51083",2001,TRUE,"1",2001-07-25,2001-07-25,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",14.091061,98.47457,0,0,2,0,2,2,2
"962","51078",2001,TRUE,"1",2001-08-02,2001-08-02,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",14.091061,98.47457,0,0,1,0,1,1,1
"963","49705",2001,TRUE,"1",2001-08-03,2001-08-03,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","6",22,98,0,0,1,0,1,1,1
"964","50456",2001,TRUE,"1",2001-08-21,2001-08-21,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","5",20.4475,99.880833,0,0,2,0,2,2,2
"965","51092",2001,TRUE,"1",2001-08-22,2001-08-22,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","4",18.25,96.25,0,0,3,0,3,3,3
"966","49313",2001,TRUE,"1",2001-09-05,2001-09-05,NA,488,"Government of Myanmar (Burma) - Civilians",144,"Government of Myanmar (Burma)",1,"Civilians","3",12.416667,99.05,0,0,1,0,1,1,1
